Date,DJREI
12/30/1999,124.96
12/31/1999,125.77
1/3/2000,124.53
1/4/2000,122.94
1/5/2000,123.77
1/6/2000,126.05
1/7/2000,128.58
1/10/2000,130.27
1/11/2000,129.6
1/12/2000,128.8
1/13/2000,128.75
1/14/2000,128.32
1/17/2000,128.32
1/18/2000,129.21
1/19/2000,129.96
1/20/2000,129.66
1/21/2000,130.02
1/24/2000,128.47
1/25/2000,128.2
1/26/2000,128.11
1/27/2000,128.15
1/28/2000,127.52
1/31/2000,125.92
2/1/2000,126.65
2/2/2000,126.8
2/3/2000,127.42
2/4/2000,126.75
2/7/2000,126.8
2/8/2000,126.85
2/9/2000,126.6
2/10/2000,125.9
2/11/2000,124.32
2/14/2000,123.84
2/15/2000,124.17
2/16/2000,123.96
2/17/2000,124.86
2/18/2000,123.76
2/21/2000,123.76
2/22/2000,122.88
2/23/2000,122.83
2/24/2000,122.11
2/25/2000,122.48
2/28/2000,122.02
2/29/2000,123.54
3/1/2000,122.93
3/2/2000,122.9
3/3/2000,123.37
3/6/2000,123.46
3/7/2000,122.56
3/8/2000,122.86
3/9/2000,123.08
3/10/2000,123.62
3/13/2000,122.85
3/14/2000,123.47
3/15/2000,124.83
3/16/2000,126.8
3/17/2000,127.69
3/20/2000,127.38
3/21/2000,127.37
3/22/2000,127.72
3/23/2000,127.43
3/24/2000,128.09
3/27/2000,127.9
3/28/2000,127.5
3/29/2000,127.63
3/30/2000,127.96
3/31/2000,128.75
4/3/2000,128.33
4/4/2000,127.52
4/5/2000,128.17
4/6/2000,129.66
4/7/2000,130.88
4/10/2000,131.3
4/11/2000,131.72
4/12/2000,131.75
4/13/2000,132.12
4/14/2000,130.53
4/17/2000,130.19
4/18/2000,131.27
4/19/2000,131.23
4/20/2000,131.44
4/21/2000,131.44
4/24/2000,131.52
4/25/2000,131.84
4/26/2000,132.56
4/27/2000,132.82
4/28/2000,133.23
5/1/2000,135.85
5/2/2000,138.05
5/3/2000,136.89
5/4/2000,136.83
5/5/2000,137.34
5/8/2000,136.88
5/9/2000,137.21
5/10/2000,135.92
5/11/2000,136.99
5/12/2000,137.33
5/15/2000,137.9
5/16/2000,138.07
5/17/2000,137.48
5/18/2000,137.02
5/19/2000,136.6
5/22/2000,136.03
