Date,Net Yield
12/1/2017,3.511
11/1/2017,3.516
10/2/2017,3.484
9/1/2017,3.36
8/1/2017,3.539
7/3/2017,3.61
6/1/2017,3.501
5/1/2017,3.575
4/3/2017,3.662
3/1/2017,3.718
2/1/2017,3.748
1/3/2017,3.72
12/1/2016,3.674
11/1/2016,3.084
10/3/2016,2.907
9/1/2016,2.921
8/1/2016,2.84
7/1/2016,2.907
6/1/2016,3.189
5/2/2016,3.168
4/1/2016,3.146
3/1/2016,3.159
2/1/2016,3.291
1/4/2016,3.541
12/1/2015,3.543
11/2/2015,3.452
10/1/2015,3.406
9/1/2015,3.484
8/3/2015,3.513
7/1/2015,3.734
6/1/2015,3.439
5/1/2015,3.394
4/1/2015,3.286
3/2/2015,3.362
2/2/2015,3.104
1/2/2015,3.434
12/1/2014,3.45
11/3/2014,3.638
10/1/2014,3.82
9/2/2014,3.756
8/1/2014,3.893
7/1/2014,3.775
6/2/2014,3.758
5/1/2014,3.928
4/1/2014,4.058
3/3/2014,3.915
2/3/2014,3.639
1/2/2014,4.234
12/2/2013,4.035
11/1/2013,3.807
10/1/2013,3.892
9/3/2013,4.209
8/3/2013,3.998
7/1/2013,3.921
6/3/2013,3.631
5/1/2013,2.958
4/1/2013,3.198
3/1/2013,3.074
2/1/2013,3.168
1/2/2013,2.936
12/3/2012,2.826
11/1/2012,2.959
10/1/2012,2.748
9/4/2012,2.956
8/1/2012,2.893
7/2/2012,3.14
6/1/2012,3.183
5/1/2012,3.433
4/2/2012,3.627
3/1/2012,3.513
2/1/2012,3.38
1/3/2012,3.584
12/1/2011,3.624
11/1/2011,3.624
10/3/2011,3.518
9/1/2011,3.826
8/1/2011,4.194
7/1/2011,4.404
6/1/2011,4.32
5/2/2011,4.504
4/1/2011,4.703
3/1/2011,4.666
2/1/2011,4.613
1/3/2011,4.549
12/1/2010,4.241
11/1/2010,3.805
10/1/2010,3.842
9/1/2010,3.732
8/2/2010,4.046
7/1/2010,4.211
6/1/2010,4.561
5/3/2010,4.856
4/1/2010,4.926
3/1/2010,4.762
2/1/2010,4.765
1/4/2010,4.993
12/1/2009,4.401
11/2/2009,4.747
10/1/2009,4.703
9/1/2009,4.893
8/3/2009,4.946
7/1/2009,5.106
6/1/2009,4.912
5/1/2009,4.585
4/1/2009,4.39
3/2/2009,4.918
2/2/2009,4.824
1/2/2009,4.635
12/1/2008,5.14
11/3/2008,6.465
10/1/2008,6.005
9/2/2008,6.208
8/1/2008,6.288
7/1/2008,6.185
6/2/2008,6.063
5/1/2008,5.775
4/1/2008,5.663
3/3/2008,5.752
2/1/2008,5.534
1/2/2008,5.932
12/3/2007,5.851
11/1/2007,6.201
10/1/2007,6.325
9/4/2007,6.365
8/1/2007,6.575
7/2/2007,6.606
6/1/2007,6.398
5/1/2007,6.131
4/2/2007,6.121
3/1/2007,6.069
2/1/2007,6.269
1/2/2007,6.143
12/1/2006,6.008
11/1/2006,6.172
10/2/2006,6.235
9/1/2006,6.315
8/1/2006,6.55
7/3/2006,6.748
6/1/2006,6.645
5/1/2006,6.446
4/3/2006,6.397
3/1/2006,6.131
2/1/2006,6.123
1/3/2006,6.142
12/1/2005,6.212
11/1/2005,6.155
10/3/2005,5.882
