"","School","LotFrontage","LotArea","MoSold","YrSold","SalePrice","TotalBsmtSF"
"1","Northwood",141,31770,5,2010,215000,1080
"2","Northwood",NA,11027,5,2006,149900,1178
"3","Northwood",85,10533,8,2006,157500,1008
"4","Northwood",74,13008,10,2009,124500,882
"5","Northwood",NA,11765,6,2006,169000,1617
"6","Northwood",NA,39384,10,2006,252000,1705
"7","Northwood",80,11622,6,2010,105000,882
"8","Northwood",81,14267,6,2010,172000,1329
"9","Northwood",87,11029,5,2008,176500,1184
"10","Northwood",85,10200,6,2009,157000,1434
"11","Northwood",85,10667,3,2007,167300,1587
"12","Northwood",85,10628,4,2007,167000,1277
"13","Northwood",93,11160,4,2010,244000,2110
"14","Northwood",NA,12925,5,2008,237500,1205
"15","Northwood",90,11727,3,2006,192100,1851
"16","Northwood",85,11075,6,2008,206900,952
"17","Northwood",75,13860,7,2009,345000,1952
"18","Northwood",95,13651,2,2007,244000,2223
"19","Northwood",95,15865,10,2007,268000,2217
"20","High",74,13830,3,2010,189900,928
"21","High",78,9978,6,2010,195500,926
"22","High",72,8702,4,2008,187500,926
"23","High",60,8238,5,2006,183500,813
"24","High",88,10179,7,2009,189500,945
"25","High",NA,11792,8,2009,270000,1008
"26","High",NA,12394,10,2007,225000,847
"27","Fellows",NA,13006,11,2006,222000,964
"28","Fellows",65,8139,10,2008,165000,680
"29","Fellows",59,9535,5,2008,195500,926
"30","Fellows",59,9042,7,2008,192000,943
"31","Fellows",NA,15038,11,2008,173000,916
"32","Fellows",NA,13041,2,2006,170000,781
"33","Fellows",NA,13031,7,2006,187500,691
"34","Fellows",NA,10364,5,2007,168000,806
"35","Fellows",53,14137,11,2008,177900,1348
"36","Fellows",54,9783,5,2006,202000,821
"37","Fellows",60,8400,6,2009,189000,384
"38","Fellows",57,21872,8,2008,175000,729
"39","Fellows",70,11207,6,2006,185000,802
"40","Northwood",134,19378,3,2006,320000,1392
"41","Northwood",50,14859,8,2006,240000,1670
"42","Northwood",50,13128,1,2006,250000,1074
"43","Northwood",72,10463,6,2006,239900,893
"44","Northwood",42,13751,5,2006,309000,1700
"45","Northwood",42,14892,10,2009,377500,1746
"46","Northwood",168,23257,9,2006,274725,868
"47","Fellows",NA,8530,5,2009,168500,384
"48","Fellows",NA,13869,7,2007,177000,794
"49","Fellows",57,8773,8,2007,169000,916
"50","Fellows",56,8872,3,2007,161500,384
"51","Northwood",41,5330,8,2007,251000,1494
"52","Northwood",28,7296,11,2009,375000,2208
"53","Northwood",41,4923,8,2008,286000,1593
"54","Northwood",41,4920,4,2010,213500,1338
"55","Northwood",40,5664,10,2009,278000,1501
"56","Northwood",45,6264,7,2008,247900,1664
"57","Northwood",61,7380,7,2009,240000,1418
"58","Northwood",41,5395,10,2008,180000,1337
"59","Northwood",43,5005,1,2010,191500,1280
"60","Northwood",39,5070,8,2008,180000,1280
"61","Northwood",57,8013,9,2009,239500,1587
"62","Northwood",39,5389,3,2010,236500,1595
"63","Northwood",68,13108,12,2006,270000,2062
"64","Fellows",NA,8076,7,2006,183500,1160
"65","Fellows",NA,10147,3,2007,160000,392
"66","High",100,10839,7,2008,181000,926
"67","High",57,8923,2,2009,177500,384
"68","High",NA,8637,4,2007,180000,923
"69","Fellows",63,7875,8,2007,178750,691
"70","Fellows",63,7875,6,2007,176000,1237
"71","High",74,10141,12,2009,185000,832
"72","High",60,7500,10,2009,191000,952
"73","High",60,7500,6,2010,189000,994
"74","High",60,7500,8,2007,204000,938
"75","High",73,11184,4,2008,183000,932
"76","Fellows",75,10000,4,2010,175900,763
"77","Fellows",NA,7685,5,2006,165600,697
"78","Fellows",59,7837,5,2009,178000,799
"79","Fellows",NA,9765,4,2009,185000,680
"80","Fellows",NA,9556,8,2007,160000,1168
"81","Fellows",NA,8000,6,2008,188000,773
"82","Fellows",NA,8803,7,2009,181316,707
"83","Fellows",58,7250,11,2009,166000,1181
"84","Fellows",NA,9636,12,2009,178000,808
"85","Fellows",65,8125,3,2009,174000,702
"86","Fellows",NA,10832,10,2008,194500,712
"87","Fellows",NA,14067,9,2008,185000,836
"88","Fellows",NA,10784,5,2007,160000,384
"89","High",NA,9125,7,2007,163900,384
"90","Fellows",NA,9248,7,2009,173000,1158
"91","Fellows",NA,7655,7,2007,168000,903
"92","Fellows",NA,7980,3,2010,185000,1168
"93","High",NA,10762,5,2009,225000,978
"94","High",63,9084,6,2006,176500,935
"95","High",63,8402,5,2010,180400,789
"96","Fellows",160,18160,3,2007,154204,1302
"97","Fellows",85,10176,2,2010,171500,1300
"98","Fellows",99,11851,5,2009,180500,1424
"99","Fellows",30,3701,8,2006,130000,1191
"100","Fellows",NA,3696,10,2007,170000,1074
"101","Northwood",NA,5814,8,2009,187500,1220
"102","Northwood",NA,5062,9,2007,207500,1190
"103","Northwood",NA,6820,6,2010,212000,1488
"104","Northwood",40,4671,10,2008,189000,1228
"105","Northwood",65,5950,4,2008,188500,1337
"106","Northwood",38,4740,10,2007,182000,1166
"107","Northwood",35,5118,8,2007,212000,1312
"108","Northwood",44,5306,6,2006,239000,1064
"109","Fellows",NA,6563,12,2006,275000,1742
"110","Northwood",101,13543,7,2008,355000,1168
"111","Northwood",59,16023,3,2006,457347,1398
"112","Northwood",60,18062,9,2006,545224,1528
"113","Northwood",63,12292,7,2006,356383,1094
"114","Northwood",86,14157,7,2007,377426,1922
"115","Northwood",85,16056,7,2006,556581,1992
"116","Northwood",82,12438,7,2006,361919,1234
"117","Northwood",77,11198,6,2008,325000,1122
"118","Northwood",98,12328,7,2007,349265,1149
"119","Northwood",53,15401,9,2008,387000,1884
"120","Northwood",63,17423,7,2009,501837,2216
"121","Northwood",82,16052,7,2006,535000,1850
"122","Northwood",92,15922,1,2006,401179,1390
"123","Northwood",66,13682,10,2006,438780,1410
"124","Northwood",47,53504,6,2010,538000,1650
"125","Northwood",52,51974,6,2007,591587,2660
"126","Northwood",152,12134,6,2010,164000,559
"127","Northwood",NA,14762,5,2006,169000,0
"128","Northwood",NA,31220,5,2008,115000,1632
"129","Northwood",195,41600,11,2007,155000,1100
"130","Northwood",100,34650,1,2006,145000,1056
"131","Northwood",61,8035,3,2007,319900,1612
"132","Northwood",60,8089,10,2007,392000,1419
"133","Northwood",60,8118,7,2008,334000,1710
"134","Northwood",60,8147,8,2006,318000,1714
"135","Northwood",80,11844,7,2009,372500,2046
"136","Northwood",69,11302,8,2006,319000,1814
"137","Northwood",85,14082,1,2007,441929,2220
"138","Northwood",81,13870,10,2007,455000,1742
"139","Northwood",90,18261,9,2006,470000,1910
"140","Northwood",88,11394,6,2010,394432,1856
"141","Northwood",124,16158,6,2009,260000,1530
"142","Northwood",NA,47280,7,2008,133000,1488
"143","Northwood",140,19138,6,2010,141000,864
"144","Northwood",85,11900,7,2009,185000,1122
"145","High",91,14145,5,2006,202500,1208
"146","High",NA,12546,4,2007,182900,1440
"147","High",46,20544,11,2008,215000,791
"148","High",63,12680,6,2008,226500,1675
"149","High",NA,10960,4,2007,174000,1284
"150","High",94,13005,8,2009,260000,845
"151","High",78,12090,1,2007,178000,585
"152","High",78,12090,6,2008,175500,1422
"153","High",78,12090,3,2007,176000,725
"154","High",NA,10825,7,2008,181900,1260
"155","High",NA,13837,2,2006,229000,1204
"156","High",93,12299,9,2007,213000,1529
"157","High",85,13175,2,2010,210000,1542
"158","Fellows",48,17043,1,2009,181000,1362
"159","Fellows",56,18559,8,2008,235000,2048
"160","Fellows",85,14450,3,2008,220000,1782
"161","Fellows",NA,12227,7,2008,272000,1330
"162","Fellows",61,11339,3,2007,192000,780
"163","Fellows",92,11952,11,2007,190000,808
"164","Fellows",NA,16659,3,2006,235000,795
"165","Fellows",90,13068,11,2008,161000,1211
"166","Fellows",85,11900,4,2009,82500,1386
"167","Fellows",NA,15611,3,2008,175000,1126
"168","Fellows",NA,16635,6,2009,215000,1602
"169","Fellows",NA,12046,6,2007,195000,848
"170","Fellows",NA,18800,7,2006,190000,796
"171","Fellows",NA,10464,6,2006,169000,988
"172","Fellows",NA,10395,7,2007,148000,1032
"173","Fellows",79,11850,8,2007,151500,1153
"174","High",NA,13250,5,2009,154000,832
"175","High",80,10928,8,2009,200000,1427
"176","High",NA,12388,8,2009,249000,1043
"177","High",80,11584,11,2007,197000,539
"178","Fellows",80,10400,6,2006,241500,1845
"179","Fellows",80,10400,8,2007,192350,1259
"180","Fellows",NA,14115,6,2009,187500,1372
"181","Fellows",80,10400,3,2008,185000,738
"182","High",80,11088,5,2009,184000,1140
"183","Fellows",81,10530,7,2006,188900,945
"184","Fellows",80,9600,7,2009,278000,2524
"185","Fellows",79,10240,5,2006,207500,1686
"186","High",80,16692,7,2006,250000,1392
"187","High",82,11880,4,2009,157000,1271
"188","High",80,10793,4,2007,152000,780
"189","High",85,11475,2,2006,179900,713
"190","Fellows",128,13001,9,2007,170000,1625
"191","High",75,9743,6,2008,146900,720
"192","High",NA,12511,12,2008,292500,1420
"193","Fellows",70,12243,2,2007,175000,1484
"194","High",NA,9927,7,2006,172000,1047
"195","Fellows",104,11361,5,2008,180000,1193
"196","Fellows",105,11751,1,2010,190000,1844
"197","High",85,10625,1,2010,170000,1053
"198","High",90,11700,6,2007,175000,702
"199","High",80,10400,4,2008,159900,1444
"200","Fellows",80,10400,6,2009,152000,1090
"201","Fellows",80,10480,9,2008,205000,803
"202","Fellows",NA,12384,11,2007,197900,793
"203","Fellows",64,8991,2,2007,174000,1228
"204","High",NA,10304,10,2009,197500,780
