"","LotFrontage","YearBuilt","LotArea","MoSold","YrSold","SalePrice","TotalBsmtSF","1stFlrSF","Neighborhood","EdwardsSchool","FellowsSchool","MeekerSchool","MitchellSchool","SawyerSchool","NorthwoodSchool","MiddleSchool","HighSchool"
"1",141,1960,31770,5,2010,215000,1080,1656,"NAmes",6.92150232312893,1.42398932796111,1.50824952220012,7.24593325327183,5.24557492436661,0.430234097033229,6.21125055573535,2.02726581638252
"2",NA,1954,11027,5,2006,149900,1178,1293,"NAmes",6.96334815845164,1.42006914170636,1.41150151158711,7.15537129027094,5.31369012601468,0.349857252838096,6.23536977465687,2.0468495981623
"3",85,1956,10533,8,2006,157500,1008,1024,"NAmes",6.97652710892026,1.42594788999415,1.39738200261703,7.14213429434596,5.3313124756595,0.342658803178295,6.245443698755,2.05666358105168
"4",74,1956,13008,10,2009,124500,882,882,"NAmes",6.9099399856126,1.36597845888672,1.38139042457647,7.122517119928,5.26423826006882,0.309555662065941,6.18093517776368,1.99237187891549
"5",NA,1957,11765,6,2006,169000,1617,1797,"NAmes",6.89058551096478,1.35607948008506,1.39777766276264,7.13664066315149,5.23970937621964,0.321224652578657,6.16531995673781,1.97728174177672
"6",NA,1957,39384,10,2006,252000,1705,1390,"NAmes",7.03938621377758,1.44501492109324,1.28182343446277,7.02658911528254,5.42880458162305,0.308439331577469,6.28568033022809,2.10000097366338
"7",80,1961,11622,6,2010,105000,882,896,"NAmes",6.85178012105696,1.32567431189305,1.40067946082118,7.13522623119327,5.19812593586104,0.320683690710059,6.12931199299388,1.94190323727367
"8",81,1958,14267,6,2010,172000,1329,1329,"NAmes",6.85218900698229,1.30856939735634,1.35352468116939,7.09013832620436,5.21012579216759,0.274501101840645,6.12250931776641,1.93394515708739
"9",87,1958,11029,5,2008,176500,1184,1414,"NAmes",6.88206743945108,1.32478174844941,1.32828915751323,7.06880209410982,5.24787973273766,0.255551817524431,6.1467348221307,1.95786329409847
"10",85,1974,10200,6,2009,157000,1434,1434,"NAmes",6.7564932578626,1.18451826392454,1.22575440231331,6.95569771180809,5.14203159546403,0.148747489085535,6.01272239315007,1.82428768882654
"11",85,1971,10667,3,2007,167300,1587,1587,"NAmes",6.82135266409151,1.23052962850808,1.18707918597087,6.92680939097214,5.21941454866195,0.115692084895471,6.06833600290765,1.88197808881098
"12",85,1970,10628,4,2007,167000,1277,1277,"NAmes",6.82530895548094,1.23569954773687,1.19341629849296,6.93330994696295,5.2219599219641,0.122346609540016,6.0730149908728,1.88645356461397
"13",93,1968,11160,4,2010,244000,2110,2110,"NAmes",6.89788116138603,1.29144034796982,1.15593239645265,6.90134873385234,5.30850822014057,0.152586248456364,6.13543678711688,1.95291236734248
"14",NA,1970,12925,5,2008,237500,1205,2117,"NAmes",6.97787404878934,1.36478647992829,1.16259175159419,6.90774138648456,5.39307523198016,0.229833723458494,6.21067094588857,2.03080314662919
"15",90,1969,11727,3,2006,192100,1851,1851,"NAmes",6.84336984015044,1.22655311330467,1.0784081075645,6.82281099197667,5.27065483526121,0.100730183269032,6.07281550984554,1.89462403084925
"16",85,1969,11075,6,2008,206900,952,1092,"NAmes",6.78634354641865,1.15808454982601,0.979519478058407,6.72256097679521,5.2364308640687,0.122741200880915,6.00450714522986,1.83456523711494
"17",75,1972,13860,7,2009,345000,1952,2000,"NAmes",6.90132951147833,1.26454671057356,0.919840227649093,6.66363932083248,5.37559739845642,0.275208758011942,6.10312474815484,1.94972596702348
"18",95,1973,13651,2,2007,244000,2223,2223,"NAmes",6.80192372451554,1.17364858044305,0.98522319506898,6.72919169995756,5.25132401091308,0.127890896608239,6.02004143537276,1.8501576059707
"19",95,1970,15865,10,2007,268000,2217,2217,"NAmes",6.84969261543033,1.23068761289521,1.0684667405963,6.81334990312898,5.27997065513678,0.111354630969272,6.07726327915321,1.90029679202086
"20",74,1997,13830,3,2010,189900,928,928,"Gilbert",6.34641007241332,2.2028265530779,3.00380733715296,8.44517097669762,4.35409136234691,2.0565486735184,5.91552903415177,2.32800150703611
"21",78,1998,9978,6,2010,195500,926,926,"Gilbert",6.3362194506023,2.19039890554826,2.99361034097755,8.43255176570046,4.34540606281085,2.04837456974692,5.90395461901522,2.31468962747546
"22",72,1997,8702,4,2008,187500,926,926,"Gilbert",6.2572443076002,2.11267817139804,2.93578194378455,8.35245319663569,4.27508073115445,2.00744024170031,5.8178582514782,2.22586010497931
"23",60,1997,8238,5,2006,183500,813,813,"Gilbert",6.25251729850624,2.10774896399242,2.93203290590776,8.34736295803329,4.27094360775627,2.00475521374463,5.81263695731662,2.22029795105722
"24",88,1997,10179,7,2009,189500,945,945,"Gilbert",6.24037699255922,2.12406834701725,2.95443502798281,8.36225462015733,4.25495439296268,2.03002403517451,5.80511494476011,2.22910104565677
"25",NA,2003,11792,8,2009,270000,1008,1008,"Gilbert",6.51255864998222,2.47906297516594,3.25620817268528,8.72238061015346,4.48522181020616,2.28235011086818,6.11878129731573,2.60232224352868
"26",NA,2003,12394,10,2007,225000,847,847,"Gilbert",6.33268705814517,2.27366071086239,3.08791371945948,8.51326960124147,4.32682214504775,2.14472615406057,5.91785573753805,2.37999467588753
"27",NA,1997,13006,11,2006,222000,964,993,"Gilbert",6.44468422649877,2.22074753085803,2.98700847608677,8.46550621019067,4.45673398763804,2.01934844798454,6.00592445061226,2.37532137551201
"28",65,1995,8139,10,2008,165000,680,680,"Gilbert",6.43302066312467,2.20028349193126,2.96818776979469,8.44503345245823,4.44789586814653,2.00249141471885,5.99146361956362,2.35533924401931
"29",59,1998,9535,5,2008,195500,926,926,"Gilbert",6.3430653126701,2.18451084950286,2.98448996462128,8.42711391391206,4.3538294266698,2.03767982728082,5.90881920956749,2.31234311510149
"30",59,1998,9042,7,2008,192000,943,943,"Gilbert",6.34740901912874,2.18978815631719,2.98880851108747,8.43246698216464,4.35753278910109,2.04113409884009,5.91374702666097,2.31799885367781
"31",NA,1996,15038,11,2008,173000,916,916,"Gilbert",6.37379117177603,2.10170626724336,2.87929360409802,8.34636155599188,4.40244529128968,1.92454006492688,5.91906262671472,2.2579169666211
"32",NA,1995,13041,2,2006,170000,781,781,"Gilbert",6.3786593436803,2.10748204760827,2.88392028863767,8.35216102190177,4.4066001735112,1.92817597752276,5.92454145555918,2.26412168965635
"33",NA,1995,13031,7,2006,187500,691,691,"Gilbert",6.37912208786109,2.1157375271091,2.89311097195731,8.36037118789633,4.40552101208791,1.93738967126537,5.9266395725112,2.27071493981019
"34",NA,1995,10364,5,2007,168000,806,806,"Gilbert",6.38850993138048,2.10799730477041,2.8805851476946,8.3527649691713,4.41715667048452,1.92268116877696,5.93333610839745,2.26797667630328
"35",53,1996,14137,11,2008,177900,1348,1384,"Gilbert",6.43671012853428,2.10719932109592,2.86007187370955,8.35174282219648,4.46959373506872,1.89167295573017,5.97557424707245,2.28429474917201
"36",54,1996,9783,5,2006,202000,821,821,"Gilbert",6.46275618422183,2.10795524570573,2.85005971166358,8.35191618918627,4.49779996514361,1.87610390016806,5.99856195814755,2.29405115058058
"37",60,1996,8400,6,2009,189000,384,958,"Gilbert",6.47545053973233,2.12534858213097,2.86484989053043,8.36920045735874,4.50823279938268,1.88859917718567,6.01325659220555,2.31186984572455
"38",57,1996,21872,8,2008,175000,729,729,"Gilbert",6.56988487766607,2.28758400425033,3.0143243598244,8.53117090951466,4.58038944618528,2.02369578062661,6.12921639312866,2.46945535170305
"39",70,1997,11207,6,2006,185000,802,802,"Gilbert",6.56226831578233,2.22818286861079,2.94809283348956,8.47079667255857,4.58319820162581,1.95707669990514,6.11025738504323,2.42094580046264
"40",134,2005,19378,3,2006,320000,1392,1392,"Gilbert",6.66166031964466,2.32092194065157,3.01532462374365,8.56075602059457,4.67456121897797,2.00895201410655,6.21572739852655,2.52574437928071
