,Id,SalePrice,SalePrice2,School
0,1461,105000,99.0,Northwood
1,1462,172000,99.0,Northwood
2,1463,189900,99.0,High
3,1464,195500,99.0,High
4,1465,191500,99.0,Northwood
5,1466,175900,99.0,Fellows
6,1467,185000,99.0,
7,1468,180400,99.0,High
8,1469,171500,99.0,Fellows
9,1470,126000,99.0,Northwood
10,1471,184000,99.0,Northwood
11,1472,96000,99.0,Northwood
12,1473,105500,99.0,Fellows
13,1474,149900,99.0,Northwood
14,1475,120000,99.0,Northwood
15,1476,376162,99.0,High
16,1477,290941,99.0,High
17,1478,275000,99.0,High
18,1479,259000,99.0,High
19,1480,500000,99.0,High
20,1481,320000,99.0,High
21,1482,205000,99.0,High
22,1483,199500,99.0,High
23,1484,160000,99.0,High
24,1485,184500,99.0,High
25,1486,185088,99.0,High
26,1487,355000,99.0,High
27,1488,221500,99.0,High
28,1489,204500,99.0,High
29,1490,271500,99.0,High
30,1491,181000,99.0,Sawyer
31,1492,67500,99.0,Sawyer
32,1493,169000,99.0,Sawyer
33,1494,362500,99.0,High
34,1495,285000,99.0,High
35,1496,260000,99.0,High
36,1497,190000,99.0,High
37,1498,155000,99.0,High
38,1499,149500,99.0,High
39,1500,152000,99.0,High
40,1501,177000,99.0,
41,1502,147110,99.0,
42,1503,267916,99.0,High
43,1504,254000,99.0,High
44,1505,230000,99.0,High
45,1506,218500,99.0,
46,1507,243500,99.0,High
47,1508,212500,99.0,
48,1509,171000,99.0,Fellows
49,1510,142250,99.0,Fellows
50,1511,159000,99.0,Fellows
51,1512,178900,99.0,Fellows
52,1513,136300,99.0,
53,1514,84900,99.0,Fellows
54,1515,197600,99.0,Meeker
55,1516,172500,99.0,Meeker
56,1517,178000,99.0,Northwood
57,1518,135000,99.0,Meeker
58,1519,214000,99.0,Meeker
59,1520,136000,99.0,
60,1521,108538,99.0,Meeker
61,1522,159500,99.0,Meeker
62,1523,108000,99.0,Meeker
63,1524,135000,99.0,Meeker
64,1525,122500,99.0,Meeker
65,1526,119000,99.0,Meeker
66,1527,105000,99.0,Meeker
67,1528,132000,99.0,Meeker
68,1529,148000,99.0,Meeker
69,1530,192000,99.0,Meeker
