Year,County,AEA,District,District Name,Diploma Count,Private 4-Year,Public 4-Year,Community College,Private 2-Year,Other Training,Employment,Homemaker,Military,Unknown
2017-2018,42,07,0009,AGWSR,43,7,9,14,0,1,4,0,1,7
2017-2018,39,11,0018,Adair-Casey,,,,,,,,,,
2017-2018,25,11,0027,Adel DeSoto Minburn,122,27,39,34,0,4,8,0,5,5
2017-2018,75,12,0063,Akron Westfield,40,1,14,17,0,2,6,0,0,0
2017-2018,11,05,0072,Albert City-Truesdale,,,,,,,,,,
2017-2018,68,15,0081,Albia,75,6,22,33,0,1,7,0,3,3
2017-2018,57,10,0099,Alburnett,46,2,14,22,0,0,8,0,0,0
2017-2018,42,07,0108,Alden,,,,,,,,,,
2017-2018,55,05,0126,Algona,101,6,34,43,0,2,12,0,4,0
2017-2018,03,01,0135,Allamakee,80,11,17,30,0,2,19,0,1,0
2017-2018,12,07,0153,North Butler,38,3,4,18,0,5,5,0,3,0
2017-2018,11,05,0171,Alta,48,13,15,10,0,0,3,0,2,5
2017-2018,85,11,0225,Ames,305,35,137,79,0,5,32,0,4,13
2017-2018,53,10,0234,Anamosa,103,17,17,37,0,1,12,0,7,12
2017-2018,49,09,0243,Andrew,,,,,,,,,,
2017-2018,77,11,0261,Ankeny,684,81,299,229,2,9,45,0,9,10
2017-2018,12,07,0279,Aplington-Parkersburg,70,7,19,29,0,2,5,0,1,7
2017-2018,32,05,0333,North Union,48,2,14,18,1,0,13,0,0,0
2017-2018,24,12,0355,Ar-We-Va,14,0,5,4,0,1,2,0,2,0
2017-2018,15,13,0387,Atlantic,112,10,40,27,0,3,23,1,5,3
2017-2018,05,11,0414,Audubon,29,8,8,10,0,0,3,0,0,0
2017-2018,18,12,0423,Aurelia,,,,,,,,,,
2017-2018,78,13,0441,AHSTW,69,5,26,20,1,0,15,0,2,0
2017-2018,85,11,0472,Ballard,135,9,40,35,0,3,4,0,0,44
2017-2018,47,12,0504,Battle Creek-Ida Grove,64,8,12,27,0,0,12,1,2,2
2017-2018,50,11,0513,Baxter,31,4,6,12,0,1,4,0,2,2
2017-2018,38,07,0540,BCLUW,49,3,11,24,0,2,7,0,1,1
2017-2018,87,13,0549,Bedford,24,0,8,12,0,0,2,0,0,2
2017-2018,06,10,0576,Belle Plaine,38,6,8,14,0,0,7,0,3,0
2017-2018,49,09,0585,Bellevue,45,13,8,16,0,1,5,0,2,0
2017-2018,99,07,0594,Belmond-Klemme,50,0,9,23,1,4,2,0,3,8
2017-2018,16,09,0603,Bennett,,,,,,,,,,
2017-2018,06,10,0609,Benton,107,14,37,42,0,0,14,0,0,0
2017-2018,82,09,0621,Bettendorf,347,45,108,106,1,18,31,1,18,19
2017-2018,90,15,0657,Eddyville-Blakesburg-,51,9,11,20,0,2,7,0,0,2
2017-2018,77,11,0720,Bondurant-Farrar,126,11,33,57,0,6,14,0,1,4
2017-2018,08,11,0729,Boone,190,20,39,64,0,3,27,1,8,28
2017-2018,84,12,0747,Boyden-Hull,44,11,13,7,1,0,8,0,4,0
2017-2018,41,07,0819,West Hancock,35,6,3,16,0,3,5,0,2,0
2017-2018,79,07,0846,Brooklyn-Guernsey-Malcom,40,5,5,20,0,1,0,0,4,5
2017-2018,95,07,0873,North Iowa,28,4,4,12,0,0,5,0,0,3
2017-2018,29,15,0882,Burlington,237,18,21,116,4,17,29,0,5,27
2017-2018,15,13,0914,CAM,86,9,13,38,2,2,22,0,0,0
2017-2018,35,07,0916,CAL,21,1,1,14,0,2,3,0,0,0
2017-2018,23,09,0918,Calamus-Wheatland,34,5,5,15,1,3,4,0,1,0
2017-2018,23,09,0936,Camanche,78,8,11,33,0,6,13,0,6,1
2017-2018,90,15,0977,Cardinal,49,3,4,26,0,0,9,0,0,7
2017-2018,91,11,0981,Carlisle,151,25,43,48,1,0,17,0,9,8
2017-2018,14,11,0999,Carroll,123,8,36,51,1,4,18,0,3,2
2017-2018,07,07,1044,Cedar Falls,344,35,160,97,1,1,28,0,10,12
2017-2018,57,10,1053,Cedar Rapids,"1,043",142,232,394,1,48,103,2,39,82
2017-2018,57,10,1062,Center Point-Urbana,112,11,27,49,0,4,9,0,7,5
2017-2018,04,15,1071,Centerville,94,6,10,45,0,3,2,0,2,26
2017-2018,56,15,1079,Central Lee,89,0,18,42,0,0,20,0,8,1
2017-2018,22,01,1080,Central,37,4,6,18,0,0,9,0,0,0
2017-2018,23,09,1082,Central DeWitt,117,18,22,48,1,2,12,0,4,10
2017-2018,57,10,1089,Central City,31,4,8,12,0,0,6,0,1,0
2017-2018,27,13,1093,Central Decatur,43,6,4,21,1,3,8,0,0,0
2017-2018,60,12,1095,Central Lyon,38,3,16,6,0,1,11,0,1,0
2017-2018,59,15,1107,Chariton,81,13,8,43,0,6,9,0,2,0
2017-2018,34,07,1116,Charles City,113,16,31,43,0,3,7,0,2,11
2017-2018,24,12,1134,Charter Oak-Ute,,,,,,,,,,
2017-2018,18,12,1152,Cherokee,73,10,12,37,0,1,8,0,4,1
2017-2018,73,13,1197,Clarinda,77,0,41,14,0,1,14,0,3,4
2017-2018,99,05,1206,Clarion-Goldfield-Dows,71,7,15,36,0,3,4,0,0,6
2017-2018,20,13,1211,Clarke,95,0,34,28,0,7,19,0,4,3
2017-2018,12,07,1215,Clarksville,20,2,3,6,0,1,5,0,0,3
2017-2018,21,05,1218,Clay Central-Everly,21,1,5,11,2,0,1,0,1,0
2017-2018,52,10,1221,Clear Creek Amana,132,9,28,52,0,4,26,0,8,5
2017-2018,17,07,1233,Clear Lake,103,7,29,53,0,1,7,0,6,0
2017-2018,23,09,1278,Clinton,192,15,29,83,2,15,42,0,6,0
2017-2018,50,11,1332,Colfax-Mingo,40,7,9,12,1,1,9,0,1,0
2017-2018,57,10,1337,College,370,51,127,114,2,10,19,0,12,35
2017-2018,85,11,1350,Collins-Maxwell,36,3,6,9,0,2,0,0,1,15
2017-2018,85,11,1359,Colo-NESCO,30,6,4,10,0,0,6,0,0,4
2017-2018,58,09,1368,Columbus,51,2,7,29,1,3,6,0,1,2
2017-2018,14,11,1413,Coon Rapids-Bayard,30,2,6,17,1,0,1,0,1,2
2017-2018,02,13,1431,Corning,46,3,5,25,0,0,9,0,2,2
2017-2018,78,13,1476,Council Bluffs,575,33,115,205,3,6,31,2,23,157
2017-2018,88,13,1503,Creston,113,9,24,58,0,0,18,0,3,1
2017-2018,25,11,1576,Dallas Center-Grimes,196,21,81,66,0,1,24,0,3,0
2017-2018,29,15,1602,Danville,39,7,7,16,0,0,6,0,2,1
2017-2018,82,09,1611,Davenport,966,80,193,324,12,51,133,2,35,136
2017-2018,26,15,1619,Davis County,70,8,10,34,1,5,7,0,5,0
2017-2018,96,01,1638,Decorah Community,130,28,50,34,0,0,12,0,4,2
2017-2018,23,09,1675,Delwood,,,,,,,,,,
2017-2018,24,12,1701,Denison,185,12,40,75,0,2,33,0,4,19
2017-2018,09,07,1719,Denver,51,12,23,15,0,0,1,0,0,0
2017-2018,77,11,1737,Des Moines Independent,"1,997",234,437,597,21,54,177,2,52,423
2017-2018,80,13,1782,Diagonal,7,0,2,4,0,1,0,0,0,0
2017-2018,38,07,1791,Dike-New Hartford,57,5,14,22,0,2,7,0,3,4
2017-2018,31,01,1863,Dubuque,738,138,199,230,0,31,118,0,20,2
2017-2018,07,07,1908,Dunkerton,36,2,9,24,0,0,1,0,0,0
2017-2018,43,13,1917,Boyer Valley,41,3,10,16,0,0,5,0,3,4
2017-2018,16,09,1926,Durant,41,5,8,22,1,0,3,0,2,0
2017-2018,99,05,1944,Eagle Grove,46,2,4,23,0,0,7,0,3,7
2017-2018,61,11,1953,Earlham,56,4,12,22,0,3,13,0,1,1
2017-2018,10,07,1963,East Buchanan,49,6,16,17,0,1,5,0,3,1
2017-2018,49,09,1965,Easton Valley,36,0,8,14,0,0,11,0,3,0
2017-2018,64,07,1968,East Marshall,68,8,23,27,0,2,3,0,1,4
2017-2018,88,13,1970,East Union,29,2,7,14,0,1,3,0,1,1
2017-2018,03,01,1972,Eastern Allamakee,23,4,3,7,0,1,7,0,1,0
2017-2018,97,12,1975,River Valley,28,4,7,13,1,0,1,0,2,0
2017-2018,28,01,1989,Edgewood-Colesburg,37,7,2,10,0,1,15,0,1,1
2017-2018,42,07,2007,Eldora-New Providence,60,3,6,25,1,5,11,0,7,2
2017-2018,74,05,2088,Emmetsburg,58,6,15,25,0,2,8,0,2,0
2017-2018,48,10,2097,English Valleys,25,3,4,11,0,0,5,0,2,0
2017-2018,73,13,2113,Essex,19,2,3,4,0,3,7,0,0,0
2017-2018,32,05,2124,Estherville Lincoln,92,4,14,50,0,1,17,0,1,5
2017-2018,83,11,2151,Exira-Elk Horn-,26,5,2,14,0,0,4,0,1,0
2017-2018,51,15,2169,Fairfield,107,17,23,33,1,0,3,0,2,28
2017-2018,95,07,2295,Forest City,102,13,25,41,0,1,16,0,1,5
2017-2018,94,05,2313,Fort Dodge,254,12,48,128,2,3,50,0,9,2
2017-2018,56,15,2322,Fort Madison,126,11,19,52,0,4,29,0,3,8
2017-2018,36,13,2369,Fremont-Mills,25,2,4,11,0,3,3,0,1,1
2017-2018,47,12,2376,Galva-Holstein,54,7,15,15,1,0,13,0,2,1
2017-2018,41,07,2403,Garner-Hayfield-Ventura,90,8,21,54,0,2,5,0,0,0
2017-2018,60,12,2457,George-Little Rock,34,2,10,12,2,0,7,1,0,0
2017-2018,85,11,2466,Gilbert,105,10,65,24,0,0,6,0,0,0
2017-2018,46,05,2493,Gilmore City-Bradgate,,,,,,,,,,
2017-2018,38,07,2502,Gladbrook-Reinbeck,44,7,7,21,0,1,6,0,2,0
2017-2018,65,13,2511,Glenwood,130,18,53,37,0,1,10,0,1,10
2017-2018,14,11,2520,Glidden-Ralston,18,3,2,8,0,0,1,0,0,4
2017-2018,74,05,2556,Graettinger-Terril,15,2,6,7,0,0,0,0,0,0
2017-2018,01,13,2673,Nodaway Valley,32,2,5,17,0,3,3,0,1,1
2017-2018,86,07,2682,GMG,32,2,6,10,0,0,8,0,4,2
2017-2018,79,07,2709,Grinnell-Newburg,111,31,27,34,1,6,11,0,0,1
2017-2018,15,13,2718,Griswold,44,5,12,16,0,2,3,0,5,1
2017-2018,38,07,2727,Grundy Center,49,6,16,14,0,2,3,0,0,8
2017-2018,39,11,2754,Guthrie Center,55,5,16,20,1,1,10,0,2,0
2017-2018,22,01,2763,Clayton Ridge,83,11,18,28,0,1,21,0,3,1
2017-2018,48,10,2766,H-L-V,20,3,3,9,0,0,1,0,4,0
2017-2018,48,13,2772,Hamburg,,,,,,,,,,
2017-2018,35,07,2781,Hampton-Dumont,69,8,15,30,0,0,9,0,1,6
2017-2018,83,13,2826,Harlan,139,11,48,54,0,1,14,0,6,5
2017-2018,89,15,2834,Harmony,,,,,,,,,,
2017-2018,30,05,2846,Harris-Lake Park,19,1,4,6,0,0,5,0,3,0
