Year,Month,labor force,employment,unemployment,unemployment rate
2005,1,46453,44859,1594,3.4
2005,2,47256,45729,1527,3.2
2005,3,46954,45448,1506,3.2
2005,4,47269,45921,1348,2.9
2005,5,46591,45173,1418,3
2005,6,45190,43569,1621,3.6
2005,7,45620,44263,1357,3
2005,8,45825,44496,1329,2.9
2005,9,47840,46476,1364,2.9
2005,10,48331,47049,1282,2.7
2005,11,48200,46818,1382,2.9
2005,12,47533,46196,1337,2.8
2006,1,46744,45368,1376,2.9
2006,2,47959,46565,1394,2.9
2006,3,47515,46234,1281,2.7
2006,4,48157,47010,1147,2.4
2006,5,47642,46474,1168,2.5
2006,6,46305,44888,1417,3.1
2006,7,47309,46049,1260,2.7
2006,8,47059,45841,1218,2.6
2006,9,48872,47644,1228,2.5
2006,10,49135,47969,1166,2.4
2006,11,49131,47962,1169,2.4
2006,12,48096,46939,1157,2.4
2007,1,47800,46419,1381,2.9
2007,2,48590,47163,1427,2.9
2007,3,48021,46670,1351,2.8
2007,4,48530,47262,1268,2.6
2007,5,47518,46271,1247,2.6
2007,6,46165,44639,1526,3.3
2007,7,46881,45581,1300,2.8
2007,8,47162,45846,1316,2.8
2007,9,48683,47396,1287,2.6
2007,10,49242,48013,1229,2.5
2007,11,49336,48061,1275,2.6
2007,12,48604,47235,1369,2.8
2008,1,47667,46179,1488,3.1
2008,2,49426,47937,1489,3
2008,3,49249,47788,1461,3
2008,4,49506,48130,1376,2.8
2008,5,48846,47362,1484,3
2008,6,47000,45198,1802,3.8
2008,7,47360,45708,1652,3.5
2008,8,47321,45657,1664,3.5
2008,9,49516,48026,1490,3
2008,10,50202,48784,1418,2.8
2008,11,50036,48515,1521,3
2008,12,49657,47839,1818,3.7
2009,1,48731,46522,2209,4.5
2009,2,50056,47723,2333,4.7
2009,3,49552,47196,2356,4.8
2009,4,50050,47724,2326,4.6
2009,5,49270,46997,2273,4.6
2009,6,47893,45170,2723,5.7
2009,7,48360,45850,2510,5.2
2009,8,48308,45741,2567,5.3
2009,9,49935,47710,2225,4.5
2009,10,50382,48337,2045,4.1
2009,11,50179,48012,2167,4.3
2009,12,49613,47269,2344,4.7
2010,1,52631,50115,2516,4.8
2010,2,53888,51331,2557,4.7
2010,3,53639,51150,2489,4.6
2010,4,54062,51932,2130,3.9
2010,5,53720,51570,2150,4
2010,6,51950,49487,2463,4.7
2010,7,52340,50091,2249,4.3
2010,8,51650,49398,2252,4.4
2010,9,54039,51998,2041,3.8
2010,10,54131,52221,1910,3.5
2010,11,54259,52293,1966,3.6
2010,12,53817,51665,2152,4
2011,1,52833,50461,2372,4.5
2011,2,53945,51681,2264,4.2
2011,3,53699,51527,2172,4
2011,4,53882,51897,1985,3.7
2011,5,52763,50806,1957,3.7
2011,6,51335,49002,2333,4.5
2011,7,51877,49636,2241,4.3
2011,8,52355,50153,2202,4.2
2011,9,54118,52123,1995,3.7
2011,10,54262,52382,1880,3.5
2011,11,53990,52199,1791,3.3
2011,12,53422,51461,1961,3.7
