AEA,County,District,School_Name,DistrictCode_SchoolCode,SchoolType,Grades,Year_Academic,Rank
Heartland AEA,Dallas County,Adel DeSoto Minburn Community School District,Adel Elementary School,0027-0409,Elementary,"KG,  01, 02",2014-2015,Unable to Rate
Northwest AEA,Plymouth County,Akron Westfield Community School District,Akron Westfield Elementary School,0063-0409,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Northwest AEA,Plymouth County,Akron Westfield Community School District,Akron Westfield Middle School,0063-0418,Middle,"06, 07, 08",2014-2015,Commendable
Great Prairie AEA,Monroe County,Albia Community School District,Lincoln Center,0081-0427,Elementary,"03, 04, 05, 06",2014-2015,Acceptable
Grant Wood AEA,Linn County,Alburnett Community School District,Alburnett Senior High School,0099-0172,High,"09, 10, 11, 12",2014-2015,Acceptable
Grant Wood AEA,Linn County,Alburnett Community School District,Alburnett Middle School,0099-0209,Middle,"06, 07, 08",2014-2015,Unable to Rate
Grant Wood AEA,Linn County,Alburnett Community School District,Alburnett Elementary School,0099-0409,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Keystone AEA,Allamakee County,Allamakee Community School District,Waukon High School,0135-0109,High,"09, 10, 11, 12",2014-2015,Commendable
Keystone AEA,Allamakee County,Allamakee Community School District,East Campus Elementary School,0135-0412,Elementary,"03, 04, 05, 06",2014-2015,Commendable
Heartland AEA,Story County,Ames Community School District,Edwards Elementary School,0225-0427,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Heartland AEA,Polk County,Ankeny Community School District,Rock Creek Elementary,0261-0454,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Unable to Rate
Northwest AEA,Cherokee County,Aurelia Community School District,Aurelia Elementary School,0423-0409,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Unable to Rate
Heartland AEA,Dallas County,Adel DeSoto Minburn Community School District,DeSoto Intermediate School,0027-0418,Elementary,"03, 04, 05",2014-2015,Commendable
AEA 267,Hardin County,Alden Community School District,Alden Elementary School,0108-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Acceptable
Heartland AEA,Story County,Ames Community School District,Fellows Elementary School,0225-0440,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Heartland AEA,Story County,Ames Community School District,Mitchell Elementary School,0225-0456,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Grant Wood AEA,Jones County,Anamosa Community School District,Strawberry Hill,0234-0418,Elementary,"KG,  01, 02, 03, 04",2014-2015,Commendable
Heartland AEA,Polk County,Ankeny Community School District,Ashland Ridge Elementary,0261-0418,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,High-Performing
Northwest AEA,Ida County,Battle Creek-Ida Grove Community School District,BCIG Elementary School,0504-0418,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Grant Wood AEA,Benton County,Belle Plaine Community School District,Longfellow Elementary School,0576-0436,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Commendable
Heartland AEA,Boone County,Boone Community School District,Futures,0729-0118,High,"09, 10, 11, 12",2014-2015,Unable to Rate
Heartland AEA,Boone County,Boone Community School District,Page Elementary School,0729-0454,Elementary,"KG,  01",2014-2015,Unable to Rate
Northwest AEA,Sioux County,Boyden-Hull Community School District,Boyden-Hull Elementary School,0747-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Commendable
AEA 267,Hancock County,West Hancock Community School District,West Hancock Middle School,0819-0209,Middle,"05, 06, 07, 08",2014-2015,Commendable
Prairie Lakes AEA,Kossuth County,Algona Community School District,Algona High School,0126-0109,High,"09, 10, 11, 12",2014-2015,Commendable
Prairie Lakes AEA,Kossuth County,Algona Community School District,Algona Middle School,0126-0209,Middle,"05, 06, 07, 08",2014-2015,Commendable
Keystone AEA,Allamakee County,Allamakee Community School District,West Campus Elementary School,0135-0427,Elementary,"KG,  01, 02",2014-2015,Unable to Rate
AEA 267,Butler County,North Butler Community School District,North Butler Middle School,0153-0109,Middle,"05, 06, 07, 08",2014-2015,Commendable
AEA 267,Butler County,North Butler Community School District,North Butler High School,0153-0172,High,"09, 10, 11, 12",2014-2015,Commendable
AEA 267,Butler County,North Butler Community School District,North Butler Elementary Allison Building,0153-0418,Elementary,"KG,  01, 02, 03, 04",2014-2015,Commendable
Heartland AEA,Polk County,Ankeny Community School District,Crocker Elementary School,0261-0448,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
AEA 267,Butler County,Aplington-Parkersburg Community School District,Aplington Elementary School,0279-0409,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
AEA 267,Butler County,Aplington-Parkersburg Community School District,Parkersburg Elementary School,0279-0427,Elementary,"KG,  01, 02, 03, 04",2014-2015,Acceptable
Green Hills AEA,Cass County,Atlantic Community School District,Atlantic High School,0387-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
Green Hills AEA,Cass County,Atlantic Community School District,Schuler Elementary School,0387-0427,Elementary,"04, 05",2014-2015,Acceptable
Green Hills AEA,Cass County,Atlantic Community School District,Washington Elementary School,0387-0445,Elementary,"KG,  01, 02, 03",2014-2015,Unable to Rate
Great Prairie AEA,Monroe County,Albia Community School District,Albia Middle School,0081-0209,Middle,"07, 08",2014-2015,Acceptable
Prairie Lakes AEA,Buena Vista County,Alta Community School District,Alta-Aurelia High School School,0171-0172,High,"09, 10, 11, 12",2014-2015,Unable to Rate
Heartland AEA,Story County,Ames Community School District,Ames High School,0225-0109,High,"09, 10, 11, 12",2014-2015,Commendable
Heartland AEA,Story County,Ames Community School District,Ames Middle School,0225-0218,Middle,"06, 07, 08",2014-2015,Exceptional
Heartland AEA,Story County,Ames Community School District,Sawyer Elementary School,0225-0481,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Mississippi Bend AEA,Jackson County,Andrew Community School District,Andrew Middle School,0243-0209,Middle,"06, 07, 08",2014-2015,Acceptable
Heartland AEA,Polk County,Ankeny Community School District,Northview Middle School,0261-0224,Middle,"08, 09",2014-2015,Commendable
Heartland AEA,Polk County,Ankeny Community School District,Southview Middle School,0261-0227,Middle,"08, 09",2014-2015,Unable to Rate
Heartland AEA,Polk County,Ankeny Community School District,East Elementary School,0261-0405,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Heartland AEA,Polk County,Ankeny Community School District,Prairie Trail Elementary,0261-0412,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Exceptional
Prairie Lakes AEA,Emmet County,North Union Community School District,North Union Elementary,0333-0427,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Unable to Rate
